seed,num_pois,num_vqcs,buffer_size,speed,camera_reach,assign_success,redundant_delivers,avg_latency,discovery_rate
100,25,5,3,5.0,10.0,13,17,8.385,0.17
100,25,5,3,5.0,15.0,8,4,34.0,0.14
100,25,5,3,5.0,20.0,14,5,24.833,0.16
100,25,5,5,5.0,10.0,12,27,6.333,0.21
100,25,5,5,5.0,15.0,8,11,22.286,0.23
100,25,5,5,5.0,20.0,10,8,17.222,0.17
100,25,5,10,5.0,10.0,16,50,9.533,0.25
100,25,5,10,5.0,15.0,9,37,23.714,0.25
100,25,5,10,5.0,20.0,9,46,22.429,0.25
100,25,10,3,5.0,10.0,,,,
100,25,10,3,5.0,15.0,,,,
100,25,10,3,5.0,20.0,,,,
100,25,10,5,5.0,10.0,,,,
100,25,10,5,5.0,15.0,,,,
100,25,10,5,5.0,20.0,,,,
100,25,10,10,5.0,10.0,,,,
100,25,10,10,5.0,15.0,,,,
100,25,10,10,5.0,20.0,,,,
100,25,15,3,5.0,10.0,,,,
100,25,15,3,5.0,15.0,,,,
100,25,15,3,5.0,20.0,,,,
100,25,15,5,5.0,10.0,,,,
100,25,15,5,5.0,15.0,,,,
100,25,15,5,5.0,20.0,,,,
100,25,15,10,5.0,10.0,,,,
100,25,15,10,5.0,15.0,,,,
100,25,15,10,5.0,20.0,,,,
100,50,5,3,5.0,10.0,10,6,28.889,0.15
100,50,5,3,5.0,15.0,13,4,40.077,0.13
100,50,5,3,5.0,20.0,17,7,30.412,0.17
100,50,5,5,5.0,10.0,10,8,36.333,0.23
100,50,5,5,5.0,15.0,15,12,49.733,0.22
100,50,5,5,5.0,20.0,18,18,26.722,0.23
100,50,5,10,5.0,10.0,9,18,36.333,0.36
100,50,5,10,5.0,15.0,21,36,25.857,0.33
100,50,5,10,5.0,20.0,26,54,21.0,0.38
100,50,10,3,5.0,10.0,,,,
100,50,10,3,5.0,15.0,,,,
100,50,10,3,5.0,20.0,,,,
100,50,10,5,5.0,10.0,,,,
100,50,10,5,5.0,15.0,,,,
100,50,10,5,5.0,20.0,,,,
100,50,10,10,5.0,10.0,,,,
100,50,10,10,5.0,15.0,,,,
100,50,10,10,5.0,20.0,,,,
100,50,15,3,5.0,10.0,,,,
100,50,15,3,5.0,15.0,,,,
100,50,15,3,5.0,20.0,,,,
100,50,15,5,5.0,10.0,,,,
100,50,15,5,5.0,15.0,,,,
100,50,15,5,5.0,20.0,,,,
100,50,15,10,5.0,10.0,,,,
100,50,15,10,5.0,15.0,,,,
100,50,15,10,5.0,20.0,,,,
100,100,5,3,5.0,10.0,15,6,32.733,0.2
100,100,5,3,5.0,15.0,14,5,21.0,0.16
100,100,5,3,5.0,20.0,22,17,13.5,0.32
100,100,5,5,5.0,10.0,9,10,24.778,0.38
100,100,5,5,5.0,15.0,16,10,38.375,0.33
100,100,5,5,5.0,20.0,19,10,22.684,0.35
100,100,5,10,5.0,10.0,20,31,21.6,0.63
100,100,5,10,5.0,15.0,23,55,22.304,0.61
100,100,5,10,5.0,20.0,18,14,10.412,0.62
100,100,10,3,5.0,10.0,,,,
100,100,10,3,5.0,15.0,,,,
100,100,10,3,5.0,20.0,,,,
100,100,10,5,5.0,10.0,,,,
100,100,10,5,5.0,15.0,,,,
100,100,10,5,5.0,20.0,,,,
100,100,10,10,5.0,10.0,,,,
100,100,10,10,5.0,15.0,,,,
100,100,10,10,5.0,20.0,,,,
100,100,15,3,5.0,10.0,,,,
100,100,15,3,5.0,15.0,,,,
100,100,15,3,5.0,20.0,,,,
100,100,15,5,5.0,10.0,,,,
100,100,15,5,5.0,15.0,,,,
100,100,15,5,5.0,20.0,,,,
100,100,15,10,5.0,10.0,,,,
100,100,15,10,5.0,15.0,,,,
100,100,15,10,5.0,20.0,,,,
